trade_id,timestamp,underlying,expiry,strike,option_type,side,quantity,price,reason
1,2022-11-01 09:15:00,NIFTY,2022-11-03,18150,CE,BUY,1,69.65,ATM_ENTER_18150
2,2022-11-01 09:15:00,NIFTY,2022-11-03,18150,PE,BUY,1,107.10,ATM_ENTER_18150
3,2022-11-01 09:15:00,BANKNIFTY,2022-11-03,41600,CE,BUY,1,270.00,ATM_ENTER_41600
4,2022-11-01 09:15:00,BANKNIFTY,2022-11-03,41600,PE,BUY,1,414.15,ATM_ENTER_41600
5,2022-11-01 09:15:40,BANKNIFTY,2022-11-03,41600,CE,SELL,1,264.80,ATM_SHIFT_41600->41700
6,2022-11-01 09:15:40,BANKNIFTY,2022-11-03,41600,PE,SELL,1,338.65,ATM_SHIFT_41600->41700
7,2022-11-01 09:15:40,BANKNIFTY,2022-11-03,41700,CE,BUY,1,219.95,ATM_ENTER_41700
8,2022-11-01 09:15:40,BANKNIFTY,2022-11-03,41700,PE,BUY,1,395.65,ATM_ENTER_41700
9,2022-11-01 09:15:58,BANKNIFTY,2022-11-03,41700,CE,SELL,1,216.15,ATM_SHIFT_41700->41600
10,2022-11-01 09:15:58,BANKNIFTY,2022-11-03,41700,PE,SELL,1,403.35,ATM_SHIFT_41700->41600
11,2022-11-01 09:15:58,BANKNIFTY,2022-11-03,41600,CE,BUY,1,263.25,ATM_ENTER_41600
12,2022-11-01 09:15:58,BANKNIFTY,2022-11-03,41600,PE,BUY,1,346.50,ATM_ENTER_41600
13,2022-11-01 09:16:01,BANKNIFTY,2022-11-03,41600,CE,SELL,1,255.75,ATM_SHIFT_41600->41700
14,2022-11-01 09:16:01,BANKNIFTY,2022-11-03,41600,PE,SELL,1,343.35,ATM_SHIFT_41600->41700
15,2022-11-01 09:16:01,BANKNIFTY,2022-11-03,41700,CE,BUY,1,210.05,ATM_ENTER_41700
16,2022-11-01 09:16:01,BANKNIFTY,2022-11-03,41700,PE,BUY,1,397.20,ATM_ENTER_41700
17,2022-11-01 09:16:02,BANKNIFTY,2022-11-03,41700,CE,SELL,1,212.55,ATM_SHIFT_41700->41600
18,2022-11-01 09:16:02,BANKNIFTY,2022-11-03,41700,PE,SELL,1,400.05,ATM_SHIFT_41700->41600
19,2022-11-01 09:16:02,BANKNIFTY,2022-11-03,41600,CE,BUY,1,258.30,ATM_ENTER_41600
20,2022-11-01 09:16:02,BANKNIFTY,2022-11-03,41600,PE,BUY,1,344.55,ATM_ENTER_41600
